Department,Course Code,Year,Faculty Name,Aaccronym,Registration,Room No,Instructor,Final Slot,Slot,Previous slot no,Starting Timings,Ending Timings,Day,Gmail ID
SSH,SOC312/ 501,Rest,Advanced  Ethnographic and Qualitative Research Methods,AERM,32,C215,Dr. Soibam Haripriya,1,1,,,,,rohit21279@iiitd.ac.in
CSE,CSE643,Rest,Artificial Intelligence,AI,215,C102,Saket Anand,1,8,,,,,rohit21279@iiitd.ac.in
CB,BIO549,Rest,Computational Metagenomics ,CoMeG,40,C03,Tarini Ghosh,1,1,,,,,rohit21279@iiitd.ac.in
HCD,DES514,Rest,Digital Audio & Video Production Workflow,DAVP,49,102 (R&D),Aman Samuel (V),1,1,4,,,,rohit21279@iiitd.ac.in
ECE,ECE570,Rest,Linear Systems Theory,LST,13,C13,Sanat Biswas,1,1,,,,,rohit21279@iiitd.ac.in
ECE,ECE525,Rest,Quantum Mechanics,QM,23,C22,Sayak Bhattacharya,1,1,,,,,rohit21279@iiitd.ac.in
MATHS,MTH506,Rest,Topics in Mathematical Logic ,TML,2,C208,Sankha Basu,1,1,,,,,rohit21279@iiitd.ac.in
CSE,CSE538/ECE538,Rest,Wireless Network,WN,73,C21,Mukulika Maity,1,1,,,,,rohit21279@iiitd.ac.in
ECE,ECE677/CSE677,Rest,Advances in Deep Learning,ADL,16,C03,A.V.Subramanyam,2,2,,,,,rohit21279@iiitd.ac.in
CB,BIO361,Rest,Biophysics,BioP,77,C11,Arjun Ray,2,2,,,,,rohit21279@iiitd.ac.in
CB,BIO211,II Year,Cell Biology and Biochemistry,CBB,21,C12,Jaspreet Kaur,2,2,,,,,rohit21279@iiitd.ac.in
CSE,CSE506,Rest,Data Mining,DMG,40,C215,Vikram Goyal,2,2,,,,,rohit21279@iiitd.ac.in
HCD,DES201,II Year,Design Processes and Perspectives ,DPP,60,A106,Anmol Srivastava,2,2,,,,,rohit21279@iiitd.ac.in
ECE,ECE270,II Year,Embedded Logic Design,ELD,119,B105,Sumit Darak,2,2,,,,,sumit@iiitd.ac.in
SSH,SOC513,Rest,Enhancement Technologies and the Body,ETB,28,C22,Paro Mishra,2,2,,,,,rohit21279@iiitd.ac.in
MATHS,MTH561,Rest,Introduction to Algebraic Geometry with Applications,IAGA,3,C208,Nabanita Ray,2,2,,,,,rohit21279@iiitd.ac.in
SSH,ECO301,Rest,Microeconomics,ME,90,A007,Souvik Dutta,2,2,,,,,rohit21279@iiitd.ac.in
MATHS,MTH211,II Year,Number Theory,NT,38,C02,Anuradha Sharma,2,2,,,,,rohit21279@iiitd.ac.in
ECE,ECE524,Rest,Quantum Materials and Devices,QMD,21,C216,Ram Krishna Ghosh,2,2,2,,,,rohit21279@iiitd.ac.in
HCD,DES530,Rest,The Business of Artificial Intelligence ,BAI,111,A106,Vinish Kathuria,3,3,,,,,rohit21279@iiitd.ac.in
CB,BIO524,Rest,Biomedical Image Processing,BIP,15,B001,Vibhor Kumar,3,3,,,,,rohit21279@iiitd.ac.in
CSE,CSE333/CSE533,Rest,Computer Graphics,CG,43,B105,Ojaswa Sharma,3,3,8,,,,rohit21279@iiitd.ac.in
SSH,SSH225A,II Year,Comprehensive Gender Sensitization,CGS,48,C21,Smriti Singh,Nil,Nil,,13.3,15,Tuesday,rohit21279@iiitd.ac.in
CB,BIO546/CSE585,Rest,Computing for Medicine,CM,137,C01,Tavpritesh Sethi,3,3,,,,,rohit21279@iiitd.ac.in
SSH,PSY308/PSY508,Rest,Cognition of Motor Movement ,CMM,134,C11,Sonia Baloni Ray,3,3,,,,,rohit21279@iiitd.ac.in
CSE,CSE665A,Rest,Distributed and Federated Machine Learning,DFML,20,C211,"Bapi Chatterjee, Ranjitha Prasad",3,3,,,,,rohit21279@iiitd.ac.in
MATHS,MTH376,Rest,Mechanics of Bodies,MB,0,,Sarthok Sircar,3,3,,,,,rohit21279@iiitd.ac.in
ECE,ECE501,Rest,Probability and Random Processes,PRP,26,C213,Chanekar Prasad Vilas,3,3,,,,,rohit21279@iiitd.ac.in
ECE,ECE318/ECE518,Rest,Solid State Devices,SSD,79,A006,Sneh Saurabh,3,3,,,,,rohit21279@iiitd.ac.in
CSE,CSE516/ECE559,Rest,Theories of Deep Learning,TDL,7,C03,Vinayak Abrol,3,3,,,,,rohit21279@iiitd.ac.in
SSH,SOC314/SOC512,Rest,Technology and the Future of Work,TFW,57,C21,Gayatri Nair,3,3,,,,,rohit21279@iiitd.ac.in
ECE,ECE551/CSE515,Rest,Bayesian Machine Learning,BML,34,C03,Ranjitha P,4,4,,,,,rohit21279@iiitd.ac.in
SSH,SSH3xx/5xx,Rest,Concepts and Methods in Social Movement Research ,CMSMR,11,C209,Aasim Khan,4,4,,,,,rohit21279@iiitd.ac.in
CSE,CSE232,Rest,Computer Networks (Sec A),CN (Sec A),150,A006,Rinku Shah,4,4,,,,,rohit21279@iiitd.ac.in
CSE,CSE232,Rest,Computer Networks (Sec B),CN (Sec B),157,C21,Pushpendra Singh,4,4,,,,,rohit21279@iiitd.ac.in
ECE,ECE215,II Year,Circuit Theory and Devices,CTD,119,B105,Shobha Sunder Ram,4,4,,,,,rohit21279@iiitd.ac.in
CSE,CSE121,II Year,Discrete Mathematics,DM,222,C102,Bapi Chatterjee,4,4,,,,,rohit21279@iiitd.ac.in
MATHS,MTH210,II Year,Discrete Structures,DS,167,C11,Rajiv Raman,4,4,,,,,rohit21279@iiitd.ac.in
CB,BIO214,II Year,Genetics and Molecular Biology,GMB,56,C12,Gaurav Ahuja,4,4,,,,,rohit21279@iiitd.ac.in
